###ÄNSI
1453000={
	name="Hans"
	culture=schwyzer
	religion=calvinist
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=skilled_tactician
	trait=hunter
	trait=brave
	trait=just
	trait=humble
	2640.8.1={birth=yes}
	2710.9.2={death=yes}
}
1453008={
	name="Cassian"
	dynasty=1999000 #Davaz
	culture=romansh
	religion=calvinist
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=thrifty_clerk
	trait=humble
	trait=ambitious
	2636.8.1={birth=yes}
	2710.9.2={death=yes}
}
1453009={
	name="Daniele"
	dynasty=2031093 #Castelli
	culture=lombard
	religion=catholic
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=fortune_builder
	trait=architect
	trait=erudite
	trait=just
	trait=ambitious
	2616.8.1={birth=yes}
	2710.9.2={death=yes}
}
1453010={
	name="Charles"
	dynasty=2011001 #Zurbriggen
	culture=arpitan
	religion=catholic
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=tough_soldier
	trait=adventurer
	trait=strong
	trait=brave
	2640.8.1={birth=yes}
	2710.9.2={death=yes}
}
1453011={
	name="Monique"
	dynasty=2011002 #Eberhardt
	culture=arpitan
	religion=calvinist
	female=yes
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=grey_eminence
	trait=adventurer
	trait=sympathy_islam
	trait=ambitious
	trait=just
	trait=poet
	2647.1.1={birth=yes}
	2710.9.2={death=yes}
}
1453012={
	name="Marcél"
	dynasty=2011003 #Bavaud
	culture=arpitan
	religion=catholic
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=amateurish_plotter
	trait=brave
	trait=groomed
	trait=fair
	trait=just
	2641.1.1={birth=yes}
	2710.9.2={death=yes}
}
1453013={
	name="Leonhard"
	dynasty=1953000 #Barth
	culture=schwyzer
	religion=calvinist
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=scholarly_theologian
	trait=theologian
	trait=just
	trait=pious
	trait=gregarious
	2615.1.1={birth=yes}
}
1453014={
	name="Bernhard"
	dynasty=1953060 #Küng
	culture=schwyzer
	religion=calvinist
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=scholarly_theologian
	trait=theologian
	trait=secretly_catholic
	trait=sympathy_judaism
	trait=patient
	trait=erudite
	trait=pious
	2591.1.1={birth=yes}
}
1453015={
	name="Johann Heinrich"
	dynasty=1953002 #Ganz
	culture=schwyzer
	religion=calvinist
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	2625.1.1={birth=yes}
}
1453016={
	name="Ulrich"
	dynasty=1953001 #von Hertenstein
	culture=schwyzer
	religion=catholic
	martial=6
	diplomacy=3
	stewardship=5
	intrigue=3
	learning=5
	trait=skilled_tactician
	trait=strong
	trait=robust
	trait=brave
	2604.1.1={birth=yes}
}
1453017={
	name="Franziska"
	dynasty=1953003 #Locher
	culture=schwyzer
	religion=catholic
	female=yes
	martial=2
	diplomacy=5
	stewardship=5
	intrigue=3
	learning=2
	trait=charismatic_negotiator
	trait=groomed
	trait=shrewd
	trait=fair
	2632.1.1={birth=yes}
}
1453020={
	name="Flavièn"
	dynasty=1953102 #Nestlé
	culture=arpitan
	religion=calvinist
	martial=3
	diplomacy=3
	stewardship=7
	intrigue=5
	learning=3
	trait=fortune_builder
	trait=greedy
	trait=mystic
	trait=just
	trait=proud
	2625.12.12={birth=yes}
	2710.1.1={death=yes}
}
1453021={
	name="Alexander"
	dynasty=1951114 #Huber
	culture=austrian
	religion=catholic
	martial=15
	diplomacy=8
	stewardship=8
	learning=6
	trait=tough_soldier 
	trait=robust
	trait=kind
	trait=just
	trait=humble
	trait=gregarious
	trait=honorable
	2637.08.19={birth=yes}
	2660.1.1={employer=1453002}
}
