#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#this was encoded in UTF-8

EVTOPTB_MSI_03;No.;;;;;;;;;;;;;x
EVTTOOLTIP_MSI_04;You ask your vassal to switch theological school.;Vous demandez à votre vassal de changer d'école théologique.;Ihr bittet Euren Vasallen darum;;;;;;;;;;;x
EVTDESC_MSI_04;It has come to my attention that you're a follower of the misguided Qom'i school. Their tenets and philosophies are an affront to God and the sunnah of the Prophet (peace be upon him). I urge you instead to embrace the Najaf'i doctrine.\n\nSigned;;;;;;;;;;;;;x
EVTOPTA_MSI_04;Yes.;;;;;;;;;;;;;x
EVTOPTB_MSI_04;Never!;Jamais !;Niemals!;;¡Nunca!;;;;;;;;;x
EVTTOOLTIP_MSI_05;You send word that you agree to adopt the Najaf'i school.;Vous faites savoir que vous acceptez de suivre les principes Salimites.;Ihr lasst verlauten;;;;;;;;;;;x
EVTDESC_MSI_05;As always.;;;;;;;;;;;;;x
EVTOPTA_MSI_05;A wise choice.;Un choix judicieux.;Eine weise Entscheidung.;;Una elección sabia.;;;;;;;;;x
EVTTOOLTIP_MSI_06;You send word that you refuse to adopt the Najaf'i school.;Vous faites savoir que vous refusez de suivre les principes Salimites.;Ihr lasst mitteilen;;;;;;;;;;;x
EVTDESC_MSI_06;You may be my liege in the mortal world.;;;;;;;;;;;;;x
EVTOPTA_MSI_06;That impudent...!;Quelle impudence...;Unverschämtheit...!;;¡Qué imprudente!;;;;;;;;;x
EVTDESC_MSI_11;[From.GetTitledFirstName] is a follower of the Najaf'i school of theology.;;;;;;;;;;;;;x
EVTOPTA_MSI_11;Yes.;;;;;;;;;;;;;x
EVTOPTB_MSI_11;No.;;;;;;;;;;;;;x
EVTTOOLTIP_MSI_12;You ask your vassal to switch theological school.;Vous demandez à votre vassal de changer d'école théologique.;Ihr bittet Euren Vasallen darum;;;;;;;;;;;x
EVTDESC_MSI_12;It has come to my attention that you're a follower of the misguided Najaf'i school. Their tenets and philosophies are incompatible with the conditions of the world, and hold us back needlessly. I urge you instead to embrace the Qom'i doctrine.\n\nSigned;;;;;;;;;;;;;x
EVTOPTA_MSI_12;Yes.;;;;;;;;;;;;;x
EVTOPTB_MSI_12;Never!;Jamais !;Niemals!;;¡Nunca!;;;;;;;;;x
EVTTOOLTIP_MSI_13;You send word that you agree to adopt the Qom'i school.;Vous faites savoir que vous acceptez de suivre les principes Muntaqiyuns.;Ihr lasst verlauten;;;;;;;;;;;x
EVTDESC_MSI_13;As always.;;;;;;;;;;;;;x
EVTOPTA_MSI_13;A wise choice.;Un choix judicieux.;Eine weise Entscheidung.;;Una elección sabia.;;;;;;;;;x
EVTTOOLTIP_MSI_14;You send word that you refuse to adopt the Qom'i school.;Vous faites savoir que vous refusez de suivre les principes Muntaqiyuns.;Ihr lasst mitteilen;;;;;;;;;;;x
EVTDESC_MSI_14;You may be my liege in the mortal world.;;;;;;;;;;;;;x
EVTOPTA_MSI_14;That impudent...!;Quelle impudence !;Unverschämtheit...!;;¡Qué imprudente!;;;;;;;;;x
EVTDESC_MSI_20;Given your dogmatic nature, you are beginning to doubt whether the Najaf'i school is truly right for you.;;;;;;;;;;;;;x
EVTOPTA_MSI_20;Perhaps I have been walking the wrong path...;J'ai peut-être choisi la mauvaise voie...;Vielleicht wandelte ich bislang auf Irrwegen...;;Quizá haya tomado el camino equivocado…;;;;;;;;;x
EVTOPTB_MSI_20;No! I must purge my mind of such heretical thoughts.;Non;;;;;;;;;;;;x
EVTDESC_MSI_21;Given your privately pious nature, you are beginning to doubt whether the Qom'i school is truly right for you.;;;;;;;;;;;;;x
EVTOPTB_MSI_21;No! I must purge my mind of such misguided notions.;Non;;;;;;;;;;;;x
appoint_waqil;Appoint Al-Waqil;;;;;;;;;;;;x
appoint_waqil_desc;This character has become more powerful than the current al-Waqil and may be appointed as defender of the [ROOT.religion.GetName] faithful;;;;;;;;;;;;x
####Akhbari Events#######
become_waqil_akhbari;Become Al-Waqil;;;;;;;;;;;;x
become_waqil_akbari_desc;I have become more powerful than the current Waqil and must take my position as defender of the [ROOT.religion.GetName] faithful;;;;;;;;;;;;x
EVTDESC_new_al_waqil;[old_al_waqil.GetBestName] is no longer fit to be Al-Waqil of the [ROOT.religion.GetName] faithful. The Maraji have decided to recognize you as the Al-Waqil in his place.;;;;;;;;;;;;x
EVTOPTA_new_al_waqil;I will accept this honor.;;;;;;;;;;;;x
EVTDESC_lost_al_waqil;The Maraji have decided that you are no longer fit to be Al-Waqil of the [ROOT.religion.GetName] faithful. They have recognized [FROM.GetName] as the Al-Waqil in your place.;;;;;;;;;;;;x
EVTOPTA_lost_al_waqil;Curses!;;;;;;;;;;;;x
took_al_waqil;Took Al-Waqil Title;;;;;;;;;;;;x

####Zaydi Events#######
become_zaydi_imam;Become Imam;;;;;;;;;;;;x
become_zaydi_imam_desc;I have become more powerful than the current Imam and must take my position as defender of the [ROOT.religion.GetName] faithful;;;;;;;;;;;;x
EVTDESC_new_zaydi_imam;[old_zaydi_imam.GetBestName] is no longer fit to be Imam of the [ROOT.religion.GetName] faithful. The Ummah have decided to recognize you as the Imam in his place.;;;;;;;;;;;;x
EVTOPTA_new_zaydi_imam;I will accept this honor.;;;;;;;;;;;;x
EVTDESC_lost_zaydi_imam;The Ummah have decided that you are no longer fit to be Imam of the [ROOT.religion.GetName] faithful. They have recognized [FROM.GetName] as the Imam in your place.;;;;;;;;;;;;x
EVTOPTA_lost_al_waqil;Curses!;;;;;;;;;;;;x
took_al_waqil;Took Al-Waqil Title;;;;;;;;;;;;x
