###ÄNSI###

obj_buddhist_stop_drinking_title;Stop Drinking;Fini la boisson;Entsagt dem Alkohl;; Deja de beber;;;;;;;;;x
obj_buddhist_reject_greed_desc;[This.GetTitledFirstName], as a devout [This.Religion.GetName], is trying to learn to reject the poison that greed brings to the mind.;[This.GetTitledFirstName], en tant que dévot [This.Religion.GetName], tente d'apprendre rejeter ce poison de l'esprit qu'est l'avarice.;[This.GetTitledFirstName] versucht als frommer [This.Religion.GetName] zu lernen, die Vergiftung des Geistes durch Gier abzulehnen.;;[This.GetTitledFirstName], como devoto [This.Religion.GetName], trata de aprender a rechazar el veneno que la codicia trae a la mente.;;;;;;;;;x
obj_buddhist_reject_envy_title;Learn to Reject Envy;Apprendre rejeter l'envie;Lernt, Neid abzulehnen;; Aprender a rechazar la envidia;;;;;;;;;x
obj_buddhist_reject_envy_desc;[This.GetTitledFirstName], as a devout [This.Religion.GetName], is trying to learn to reject the poison that envy brings to the mind.;[This.GetTitledFirstName], en tant que dévot [This.Religion.GetName], tente d'apprendre rejeter ce poison de l'esprit qu'est l'envie.;[This.GetTitledFirstName] versucht als frommer [This.Religion.GetName] zu lernen, die Vergiftung des Geistes durch Neid abzulehnen.;; [This.GetTitledFirstName], como devoto [This.Religion.GetName], trata de aprender a rechazar el veneno que la envidia trae a la mente.;;;;;;;;;x
obj_buddhist_reject_hate_title;Learn to Reject Hate;Apprendre rejeter la haine;Lernt, Hass abzulehnen;; Aprender a rechazar el odio;;;;;;;;;x
obj_buddhist_reject_hate_desc;[This.GetTitledFirstName], as a devout [This.Religion.GetName], is trying to learn to reject the poison that hate and anger brings to the mind.;[This.GetTitledFirstName], en tant que dévot [This.Religion.GetName], tente d'apprendre rejeter la haine et la colè qui sont des poisons de l'esprit.;[This.GetTitledFirstName] versucht als frommer [This.Religion.GetName] zu lernen, die Vergiftung des Geistes durch Hass und Zorn abzulehnen.;; [This.GetTitledFirstName], como devoto [This.Religion.GetName], trata de aprender a rechazar el veneno que el odio y la ira traen a la mente.;;;;;;;;;x
obj_buddhist_reject_pride_title;Learn to Reject Pride;Apprendre rejeter l'orgueil;Lernt, Stolz abzulehnen;; Aprender a rechazar el orgullo;;;;;;;;;x
obj_buddhist_reject_pride_desc;[This.GetTitledFirstName], as a devout [This.Religion.GetName], is trying to learn to reject pride.;[This.GetTitledFirstName], en tant que dévot [This.Religion.GetName], tente d'apprendre rejeter l'orgueil.;[This.GetTitledFirstName] versucht als frommer [This.Religion.GetName] zu lernen, den Stolz abzulehnen.;; [This.GetTitledFirstName], como devoto [This.Religion.GetName], trata de aprender a rechazar el orgullo.;;;;;;;;;x
obj_buddhist_defeat_fear_title;Defeat Fear;Vaincre la peur;Besiegt die Furcht;; Vencer el Miedo;;;;;;;;;x
obj_buddhist_defeat_fear_desc;[This.GetTitledFirstName], as a devout [This.Religion.GetName], is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.;[This.GetTitledFirstName], en tant que dévot [This.Religion.GetName], tente d'apprendre saincre sa peur du monde et des projets d'autrui.;[This.GetTitledFirstName] versucht als frommer [This.Religion.GetName] zu lernen, [This.GetHerHis] Furcht vor der Welt und der Hinterhigkeit anderer Menschen zu besiegen.;;[This.GetTitledFirstName], como devoto [This.Religion.GetName], trata de aprender a derrotar [This.GetHerHis] miedo al mundo y a los designios de otros.;;;;;;;;;x
convert_to_shaktah;Convert to Shaktah;Adopter l'hindouisme;Konvertiert zum Hinduismus;;Convertir al Hinduismo;;;;;;;;;x
convert_to_shaktah_desc;The Hindu religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_vaishnava;Convert to Vaishnava;Adopter l'hindouisme;Konvertiert zum Hinduismus;;Convertir al Hinduismo;;;;;;;;;x
convert_to_vaishnava_desc;The Hindu religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_srauta;Convert to Srauta;Adopter l'hindouisme;Konvertiert zum Hinduismus;;Convertir al Hinduismo;;;;;;;;;x
convert_to_srauta_desc;The Hindu religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_mantramarga;Convert to Mantramarga;Adopter l'hindouisme;Konvertiert zum Hinduismus;;Convertir al Hinduismo;;;;;;;;;x
convert_to_mantramarga_desc;The Hindu religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
has_dharmic_religion_trigger;Is Hindu;;;;;;;;;;;;;x
hindu_opinion;Srauta Opinion;;;;;;;;;;;;;x
