embrace_ascetism_desc;Reject all carnal pleasures, including the company of your wife;;;;;;;;;;;;x
EVTDESCCIML.352;Catharism consider all sexual activity a grave sin, since it creates new life trapping the souls in their bodies. In order to become a perfecti and attain salvation you must abandon marriage and sex altogether.;;;;;;;;;;;;x
EVTOPTACIML.352;The world is ash;;;;;;;;;;;;x
EVTOPTBCIML.352;The world is ash;;;;;;;;;;;;x
EVTOPTCCIML.352;No, till death do us part;;;;;;;;;;;;x
EVTOPTDCIML.352;I am not ready for this;;;;;;;;;;;;x
mandean_requiem_dynasty;Masiqta for dead relatives;;;;;;;;;;;;x
mandean_requiem_dynasty_desc;This character has been sponsoring ceremonies to help the dead to acsend;;;;;;;;;;;;x
mandean_requiem_army;Masiqta for fallen soldiers;;;;;;;;;;;;x
mandean_requiem_army_desc;This character has been sponsoring ceremonies to help the dead to acsend;;;;;;;;;;;;x
mandean_requiem_poor;Masiqta for the poor;;;;;;;;;;;;x
mandean_requiem_poor_desc;This character has been sponsoring ceremonies to help the dead to acsend;;;;;;;;;;;;x
mandean_requiem_church;Payed for Masiqta;;;;;;;;;;;;x
mandean_requiem_church_desc;This character has been sponsoring ceremonies to help the dead to acsend;;;;;;;;;;;;x
order_masiqta;Sponsor Masiqta Rituals;;;;;;;;;;;;x
order_masiqta_desc;Pay for services helping the souls of the departed to Ascend to the World of Light;;;;;;;;;;;;x
EVTNAMECIML.809;The Ascension of the Dead;;;;;;;;;;;;x
EVTDESCCIML.809;Many souls of the departed have been held back from ascension and are held in purgatory. Ceremonies may thus be held, aiding them in their ascension to the World of Light. These ceremonies may vary in form but usually contain a ritual meal. For whom shall these ceremonies be held?;;;;;;;;;;;;x
EVTOPTACIML.809;For my beloved ancestors;;;;;;;;;;;;x
EVTOPTBCIML.809;For my fallen soldiers;;;;;;;;;;;;x
EVTOPTCCIML.809;For the poor;;;;;;;;;;;;x
EVTOPTDCIML.809;Let the Nasoreans decide;;;;;;;;;;;;x
mandean_incantation_bowl;Bury an Incantation Bowl;;;;;;;;;;;;x
mandean_incantation_bowl_desc;Bury an Incantation Bowl, in the hope of capturing the demons in it;;;;;;;;;;;;x
EVTNAMECIML.810;The Magic Bowl;;;;;;;;;;;;x
EVTDESCCIML.810;Incantation bowls are covered in prayers and Holy texts. They are buried upside down and likely to capture or scare away any demons nearby.;;;;;;;;;;;;x
EVTOPTACIML.810;I feel safer already;;;;;;;;;;;;x
